Fuel Type,Body Type,Kilometers Driven,Transmission Type,Number of Owners,Manufacturer,Model,Model Year,Variant ID,Variant Name,Price,Location,Registration_Year,Insurance Validity,Seats,RTO,Engine Displacement,Transmission,Mileage,Engine,Max Power,Torque,Color,Engine Type,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Supply System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size
Petrol,Hatchback,89667.0,Manual,1.0,Hyundai,Hyundai i20,2016.0,1481.0,Sportz 1.2,594000.0,bangalore,2016.0,Comprehensive,5.0,KA19,1197.0,Manual,18.6,1197.0,81.83,114.7,White,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3985.0,1734.0,1505.0,2570.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless,5.0,295.0,16.0,16.0
Diesel,Hatchback,120000.0,Manual,1.0,Hyundai,Hyundai i20,2017.0,1610.0,Asta Option 1.4 CRDi,710000.0,bangalore,2017.0,Third Party insurance,5.0,KA05,1396.0,Manual,22.54,1396.0,88.73,219.7,Others,U2 CRDI Diesel Engine,4.0,4.0,DOHC,CRDI,Yes,No,3985.0,1734.0,1505.0,2570.0,1515.0,1520.0,6.0,FWD,Power,Disc,Drum,180.0,11.9,Tubeless,5.0,295.0,16.0,16.0
Petrol,Hatchback,56997.0,Manual,1.0,Maruti,Maruti Baleno,2017.0,3969.0,1.2 Zeta,692000.0,bangalore,2017.0,Zero Dep,5.0,KA03,1197.0,Manual,21.4,1197.0,83.1,115.0,Blue,VVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,880.0,1340.0,5.0,FWD,Power,Disc,Drum,180.0,12.36,"Tubeless,Radial",5.0,339.0,16.0,16.0
Petrol,Hatchback,18835.0,Manual,1.0,Maruti,Maruti Alto 800,2021.0,7277.0,VXI Plus BSVI,411000.0,bangalore,2021.0,Zero Dep,5.0,KA50,796.0,Manual,22.05,796.0,47.33,69.0,Silver,F8D Petrol Engine,3.0,4.0,Default,Default,Default,Default,3445.0,1515.0,1475.0,2360.0,762.0,1185.0,5.0,FWD,Power,Disc,Drum,172.0,12.9,Tubeless Tyres,5.0,350.0,16.0,16.0
Petrol,SUV,33539.0,Automatic,2.0,Kia,Kia Seltos,2020.0,7122.0,GTX Plus DCT,1675000.0,bangalore,2020.0,Comprehensive,5.0,KA05,1353.0,Automatic,16.5,1353.0,138.08,242.0,White,Smartstream G1.4,4.0,4.0,Default,GDi,Yes,Default,4315.0,1800.0,1645.0,2610.0,1535.0,1520.0,7.0,FWD,Electric,Disc,Disc,172.0,12.9,"Tubeless, Radial",5.0,433.0,17.0,17.0
Petrol,Hatchback,44285.0,Manual,1.0,Hyundai,Hyundai i20,2019.0,6808.0,Magna Plus BSIV,715000.0,bangalore,2019.0,Third Party insurance,5.0,KA09,1197.0,Manual,18.6,1197.0,81.86,117.0,Grey,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3985.0,1734.0,1505.0,2570.0,1120.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,"Tubeless,Radial",5.0,285.0,16.0,16.0
Petrol,Hatchback,36735.0,Manual,1.0,Hyundai,Hyundai Grand i10,2018.0,5607.0,1.2 Kappa Asta,625000.0,bangalore,2019.0,Comprehensive,5.0,KA03,1197.0,Manual,18.9,1197.0,81.86,113.75,Blue,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3765.0,1660.0,1520.0,2425.0,1060.0,1520.0,5.0,FWD,Power,Disc,Drum,165.0,12.9,Tubeless,5.0,256.0,14.0,14.0
Petrol,Hatchback,10000.0,Automatic,1.0,Renault,Renault KWID,2022.0,7433.0,1.0 RXT AMT Opt,550000.0,bangalore,2022.0,Third Party insurance,5.0,KA50,999.0,Automatic,22.0,999.0,67.0,91.0,Others,Petrol Engine,3.0,4.0,DOHC,MPFi,No,No,3731.0,1579.0,1474.0,2422.0,750.0,1520.0,5.0,FWD,Electric,Disc,Drum,172.0,12.9,"Tubeless,Radial",5.0,279.0,16.0,16.0
Petrol,Hatchback,53982.0,Automatic,1.0,Maruti,Maruti Celerio,2014.0,10358.0,VXI AMT,428000.0,bangalore,2014.0,Comprehensive,5.0,KA03,998.0,Automatic,26.68,998.0,65.71,89.0,Others,K10C,3.0,4.0,Default,Default,Default,Default,3695.0,1655.0,1555.0,2435.0,815.0,1260.0,5.0,FWD,Electric,Ventilated Disc,Drum,172.0,12.9,"Tubeless, Radial",5.0,313.0,16.0,16.0
Petrol,SUV,37741.0,Manual,2.0,Ford,Ford Ecosport,2019.0,7350.0,1.5 Petrol Titanium,930000.0,bangalore,2019.0,Third Party insurance,5.0,KA01,1496.0,Manual,15.9,1496.0,120.69,149.0,White,Ti-VCT Petrol Engine,3.0,4.0,DOHC,Direct Injection,No,No,3998.0,1765.0,1647.0,2519.0,1225.0,1660.0,5.0,FWD,Electric,Ventilated Disc,Drum,172.0,12.9,"Tubeless,Radial",4.0,352.0,16.0,16.0
Petrol,Hatchback,17367.0,Manual,1.0,Maruti,Maruti Alto 800,2021.0,7277.0,VXI Plus BSVI,455000.0,bangalore,2021.0,Comprehensive,5.0,KA02,796.0,Manual,22.05,796.0,47.33,69.0,Silver,F8D Petrol Engine,3.0,4.0,Default,Default,Default,Default,3445.0,1515.0,1475.0,2360.0,762.0,1185.0,5.0,FWD,Power,Disc,Drum,172.0,12.9,Tubeless Tyres,5.0,350.0,16.0,16.0
Petrol,Hatchback,54601.0,Manual,3.0,Maruti,Maruti Swift,2014.0,10403.0,VXI,442000.0,bangalore,2014.0,Comprehensive,5.0,KA53,1197.0,Manual,22.38,1197.0,88.5,113.0,White,K Series Dual jet,4.0,4.0,Default,Default,Default,Default,3845.0,1735.0,1530.0,2450.0,23937.0,1335.0,5.0,FWD,Electric,Disc,Drum,172.0,12.9,"Radial, Tubeless",5.0,268.0,16.0,16.0
Petrol,Hatchback,44154.0,Automatic,2.0,Honda,Honda Jazz,2016.0,1340.0,1.2 V AT i VTEC,537000.0,bangalore,2016.0,Comprehensive,5.0,KA03,1199.0,Automatic,19.0,1199.0,88.7,110.0,White,i-VTEC Petrol Engine,4.0,4.0,SOHC,PGM - Fi,No,No,3955.0,1694.0,1544.0,2530.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,172.0,13.7,"Tubeless,Radial",5.0,354.0,15.0,15.0
