Fuel Type,Body Type,Kilometers Driven,Transmission Type,Number of Owners,Manufacturer,Model,Model Year,Variant ID,Variant Name,Price,Location,Registration_Year,Insurance Validity,Seats,RTO,Engine Displacement,Transmission,Mileage,Engine,Max Power,Torque,Color,Engine Type,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Supply System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size
Petrol,Hatchback,13126.0,Automatic,1.0,Maruti,Maruti Celerio,2021.0,10360.0,ZXI AMT,633000.0,chennai,2021.0,Zero Dep,5.0,TN11,998.0,Automatic,26.0,998.0,65.71,89.0,Red,K10C,3.0,4.0,Default,Default,Default,Default,3695.0,1655.0,1555.0,2435.0,820.0,1260.0,5.0,FWD,Electric,Ventilated Disc,Drum,170.0,13.2,"Tubeless, Radial",5.0,313.0,16.0,16.0
Petrol,MUV,57000.0,Manual,1.0,Maruti,Maruti Ertiga,2018.0,6697.0,VXI Petrol,799000.0,chennai,2018.0,Third Party insurance,7.0,TN06,1462.0,Manual,19.34,1462.0,103.0,138.0,Silver,K15 Smart Hybrid,4.0,4.0,DOHC,MPFI,No,No,4395.0,1735.0,1690.0,2740.0,1145.0,1730.0,5.0,2WD,Power,Ventilated Disc,Drum,170.0,13.2,"Tubeless,Radial",5.0,209.0,16.0,16.0
Petrol,Hatchback,24500.0,Automatic,2.0,Maruti,Maruti Baleno,2020.0,5920.0,1.2 CVT Alpha,861000.0,chennai,2020.0,Comprehensive,5.0,TN07,1197.0,Automatic,21.4,1197.0,83.1,115.0,Silver,VVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,935.0,1360.0,5.0,FWD,Power,Disc,Drum,180.0,12.36,"Tubeless,Radial",5.0,339.0,16.0,16.0
Petrol,Sedan,40000.0,Manual,1.0,Maruti,Maruti Swift Dzire,2020.0,7709.0,VXI BSVI,610000.0,chennai,2020.0,Third Party insurance,5.0,TN18,1197.0,Manual,22.41,1197.0,88.5,113.0,Gray,Default,4.0,4.0,Default,Default,Default,Default,3995.0,1735.0,1515.0,2450.0,28947.0,1335.0,5.0,FWD,Electric,Disc,Drum,170.0,13.2,"Tubeless, Radial",4.0,378.0,16.0,16.0
Petrol,Hatchback,12060.0,Manual,1.0,Tata,Tata Tiago,2021.0,7377.0,XZ Plus BSVI,648000.0,chennai,2021.0,Comprehensive,5.0,TN09,1199.0,Manual,19.01,1199.0,84.82,113.0,Blue,1.2 L Revotron,3.0,4.0,Default,Default,Default,Default,3765.0,1677.0,1535.0,2400.0,982.0,1520.0,5.0,FWD,Electric,Disc,Drum,170.0,13.2,"Tubeless, Radial",5.0,350.0,15.0,15.0
Petrol,Hatchback,60000.0,Manual,1.0,Volkswagen,Volkswagen Polo,2014.0,1958.0,Petrol Highline 1.2L,490000.0,chennai,2014.0,Comprehensive,5.0,TN02,1198.0,Manual,16.47,1198.0,73.9,110.0,Grey,In-Line Petrol Engine,3.0,4.0,Default,MPFI ,No,No,3970.0,1682.0,1453.0,2456.0,1055.0,1520.0,5.0,FWD,Power,Disc,Drum,162.9,14.2,"Tubeless,Radial",5.0,350.0,15.0,15.0
Petrol,SUV,45787.0,Manual,1.0,Kia,Kia Seltos,2020.0,7112.0,GTX Plus,1590000.0,chennai,2020.0,Third Party insurance,5.0,TN09,1353.0,Manual,16.5,1353.0,138.08,242.0,Black,Smartstream G1.4,4.0,4.0,Default,GDi,Yes,Default,4315.0,1800.0,1645.0,2610.0,1515.0,1520.0,6.0,FWD,Electric,Disc,Disc,170.0,13.2,"Tubeless, Radial",5.0,433.0,17.0,17.0
Petrol,Hatchback,39024.0,Manual,1.0,Hyundai,Hyundai i20,2018.0,5703.0,1.2 Asta,630000.0,chennai,2018.0,Comprehensive,5.0,TN11,1197.0,Manual,18.6,1197.0,81.83,114.7,Grey,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3985.0,1734.0,1505.0,2570.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless,5.0,295.0,16.0,16.0
Petrol,SUV,114386.0,Manual,1.0,Hyundai,Hyundai Creta,2018.0,6429.0,1.6 E Plus,827000.0,chennai,2018.0,Third Party insurance,5.0,TN02,1591.0,Manual,15.8,1591.0,121.3,151.0,White,VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,4270.0,1780.0,1665.0,2590.0,1260.0,1520.0,6.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless,5.0,400.0,16.0,16.0
Petrol,Hatchback,16561.0,Manual,2.0,Hyundai,Hyundai Grand i10,2019.0,5604.0,1.2 Kappa Sportz BSIV,569000.0,chennai,2019.0,Comprehensive,5.0,TN70,1197.0,Manual,18.9,1197.0,81.86,113.75,Blue,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3765.0,1660.0,1520.0,2425.0,1120.0,1520.0,5.0,FWD,Power,Disc,Drum,165.0,12.9,Tubeless,5.0,256.0,16.0,16.0
Petrol,Hatchback,23328.0,Manual,1.0,Renault,Renault KWID,2021.0,7435.0,Climber 1.0 MT Opt,490000.0,chennai,2021.0,Comprehensive,5.0,TN83,999.0,Manual,21.74,999.0,67.0,91.0,Blue,Petrol Engine,3.0,4.0,DOHC,MPFi,No,No,3731.0,1579.0,1490.0,2422.0,745.0,1520.0,5.0,FWD,Electric,Disc,Drum,170.0,13.2,"Tubeless,Radial",5.0,279.0,16.0,16.0
Petrol,Hatchback,16473.0,Manual,1.0,Maruti,Maruti S-Presso,2020.0,7173.0,VXI Plus 2019-2022,484999.0,chennai,2020.0,Comprehensive,5.0,TN11,998.0,Manual,21.7,998.0,65.71,89.0,Red,K10C,3.0,4.0,Default,Default,Default,Default,3565.0,1520.0,1567.0,2380.0,15879.0,1170.0,5.0,FWD,Power,Ventilated Disc,Drum,170.0,13.2,"Tubeless, Radial",5.0,350.0,16.0,16.0
Petrol,Hatchback,16473.0,Manual,1.0,Maruti,Maruti S-Presso,2020.0,7173.0,VXI Plus 2019-2022,484999.0,chennai,2020.0,Comprehensive,5.0,TN11,998.0,Manual,21.7,998.0,65.71,89.0,Red,K10C,3.0,4.0,Default,Default,Default,Default,3565.0,1520.0,1567.0,2380.0,15879.0,1170.0,5.0,FWD,Power,Ventilated Disc,Drum,170.0,13.2,"Tubeless, Radial",5.0,350.0,16.0,16.0
Petrol,Hatchback,91799.0,Automatic,1.0,Maruti,Maruti Baleno,2017.0,3960.0,1.2 CVT Zeta,622000.0,chennai,2017.0,Comprehensive,5.0,TN11,1197.0,Automatic,21.4,1197.0,83.1,115.0,Blue,VVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,920.0,1360.0,5.0,FWD,Power,Disc,Drum,180.0,12.79,"Tubeless,Radial",5.0,339.0,16.0,16.0
Petrol,Hatchback,38919.0,Manual,3.0,Hyundai,Hyundai i20,2016.0,1481.0,Sportz 1.2,554000.0,chennai,2016.0,Comprehensive,5.0,TN06,1197.0,Manual,18.6,1197.0,81.83,114.7,Red,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3985.0,1734.0,1505.0,2570.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless,5.0,295.0,16.0,16.0
Petrol,Hatchback,60000.0,Manual,2.0,Maruti,Maruti Alto 800,2019.0,7073.0,LXI,320000.0,chennai,2019.0,Third Party insurance,5.0,TN02,796.0,Manual,22.05,796.0,47.33,69.0,Others,F8D Petrol Engine,3.0,4.0,Default,Default,Default,Default,3445.0,1515.0,1475.0,2360.0,755.0,1185.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless Tyres,5.0,350.0,16.0,16.0
Petrol,Hatchback,70000.0,Manual,3.0,Hyundai,Hyundai i20,2009.0,1615.0,Asta,250000.0,chennai,2009.0,Third Party insurance,5.0,TN20,1197.0,Manual,17.0,1197.0,80.0,11.44,Others,In-Line Engine,4.0,4.0,DOHC,MPFI,No,No,3940.0,1710.0,1505.0,2525.0,990.0,1520.0,5.0,FWD,Power,Disk,Drum,170.0,13.2,"Tubeless,Radial",5.0,350.0,14.0,14.0
Diesel,Hatchback,67000.0,Manual,1.0,Chevrolet,Chevrolet Beat,2013.0,440.0,Diesel LS,285000.0,chennai,2013.0,Comprehensive,5.0,TN05,936.0,Manual,25.44,936.0,57.6,150.0,White,Smartech Engine,3.0,4.0,DOHC,MPFI,No,No,3640.0,1595.0,1520.0,2375.0,990.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,"Tubeless,Radial",5.0,170.0,14.0,14.0
Petrol,Hatchback,70528.0,Automatic,1.0,Maruti,Maruti Baleno,2017.0,3960.0,1.2 CVT Zeta,616000.0,chennai,2017.0,Comprehensive,5.0,TN14,1197.0,Automatic,21.4,1197.0,83.1,115.0,Orange,VVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,920.0,1360.0,5.0,FWD,Power,Disc,Drum,180.0,12.79,"Tubeless,Radial",5.0,339.0,16.0,16.0
Petrol,Hatchback,35413.0,Manual,1.0,Hyundai,Hyundai i20,2016.0,1482.0,Asta 1.2,594000.0,chennai,2016.0,Third Party insurance,5.0,TN48,1197.0,Manual,18.6,1197.0,81.83,114.7,White,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3985.0,1734.0,1505.0,2570.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless,5.0,295.0,16.0,16.0
Petrol,Hatchback,66285.0,Automatic,1.0,Honda,Honda Jazz,2017.0,1340.0,1.2 V AT i VTEC,647000.0,chennai,2017.0,Third Party insurance,5.0,TN01,1199.0,Automatic,19.0,1199.0,88.7,110.0,White,i-VTEC Petrol Engine,4.0,4.0,SOHC,PGM - Fi,No,No,3955.0,1694.0,1544.0,2530.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,172.0,13.7,"Tubeless,Radial",5.0,354.0,15.0,15.0
Petrol,SUV,83129.0,Automatic,1.0,Kia,Kia Seltos,2019.0,7122.0,GTX Plus DCT,1400000.0,chennai,2019.0,Zero Dep,5.0,TN23,1353.0,Automatic,16.5,1353.0,138.08,242.0,White,Smartstream G1.4,4.0,4.0,Default,GDi,Yes,Default,4315.0,1800.0,1645.0,2610.0,1535.0,1520.0,7.0,FWD,Electric,Disc,Disc,170.0,13.2,"Tubeless, Radial",5.0,433.0,17.0,17.0
Petrol,Hatchback,37218.0,Manual,2.0,Hyundai,Hyundai Grand i10,2019.0,5604.0,1.2 Kappa Sportz BSIV,505000.0,chennai,2019.0,Third Party insurance,5.0,TN16,1197.0,Manual,18.9,1197.0,81.86,113.75,Others,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3765.0,1660.0,1520.0,2425.0,1120.0,1520.0,5.0,FWD,Power,Disc,Drum,165.0,12.9,Tubeless,5.0,256.0,16.0,16.0
Petrol,SUV,60000.0,Manual,1.0,Hyundai,Hyundai Venue,2019.0,6948.0,SX Opt Turbo BSIV,900000.0,chennai,2019.0,Third Party insurance,5.0,TN38,998.0,Manual,18.27,998.0,118.35,171.6,Others,Default,3.0,4.0,Default,GDi,Yes,Default,3995.0,1770.0,1605.0,2500.0,1340.0,1520.0,6.0,FWD,Power,Disc,Drum,170.0,13.2,Radial,5.0,350.0,16.0,16.0
Petrol,Hatchback,33640.0,Manual,1.0,Hyundai,Hyundai i20,2019.0,6812.0,Asta Option BSIV,730000.0,chennai,2019.0,Third Party insurance,5.0,TN09,1197.0,Manual,18.6,1197.0,81.86,117.0,Blue,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3985.0,1734.0,1505.0,2570.0,1140.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless,5.0,285.0,16.0,16.0
Petrol,Hatchback,23608.0,Manual,1.0,Ford,Ford Freestyle,2020.0,7601.0,Titanium,648000.0,chennai,2020.0,Comprehensive,5.0,TN14,1194.0,Manual,18.5,1194.0,94.93,119.0,White,1.2 litre Petrol Engine,3.0,4.0,DOHC,MPFI,No,No,3954.0,1737.0,1570.0,2490.0,-28108.0,1520.0,5.0,FWD,Electric,Ventilated Disc,Drum,170.0,13.2,Tubeless,5.0,257.0,15.0,15.0
Petrol,Hatchback,22353.0,Manual,1.0,Hyundai,Hyundai i20,2013.0,1646.0,Magna,434999.0,chennai,2013.0,Comprehensive,5.0,TN02,1197.0,Manual,18.5,1197.0,82.85,113.7,Silver,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1710.0,1505.0,2525.0,1060.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,"Tubeless,Radial",5.0,350.0,14.0,14.0
Diesel,SUV,36000.0,Manual,1.0,Mahindra,Mahindra TUV 300,2016.0,3755.0,T8,790000.0,chennai,2016.0,Comprehensive,7.0,TN09,1493.0,Manual,18.49,1493.0,100.0,240.0,Red,mHawk 100 Diesel Engine,3.0,2.0,Default,CRDi,Yes,No,3995.0,1835.0,1826.0,2680.0,1755.0,2225.0,5.0,RWD,Power,Disc,Drum,156.0,13.9,"Tubeless,Radials",5.0,384.0,15.0,15.0
Diesel,Hatchback,120000.0,Manual,2.0,Volkswagen,Volkswagen Polo,2011.0,1953.0,Diesel Comfortline 1.2L,315000.0,chennai,2011.0,Third Party insurance,5.0,TN07,1199.0,Manual,22.07,1199.0,73.9,180.0,Others,In-Line Diesel Engine,3.0,4.0,Default,CRDI,No,No,3970.0,1682.0,1453.0,2456.0,1125.0,1520.0,5.0,FWD,Power,Disc,Drum,164.1,14.4,"Tubeless,Radial",5.0,350.0,15.0,15.0
Petrol,Hatchback,77957.0,Manual,1.0,Hyundai,Hyundai i20,2016.0,1482.0,Asta 1.2,576000.0,chennai,2016.0,Comprehensive,5.0,TN14,1197.0,Manual,18.6,1197.0,81.83,114.7,Red,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3985.0,1734.0,1505.0,2570.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless,5.0,295.0,16.0,16.0
Petrol,SUV,81394.0,Manual,2.0,Hyundai,Hyundai Creta,2017.0,8179.0,1.6 VTVT SX Plus,842000.0,chennai,2017.0,Third Party insurance,5.0,TN07,1591.0,Manual,13.0,1591.0,121.3,151.0,White,VTVT Petrol Engine,4.0,4.0,DOHC,MPFi,No,No,4270.0,1780.0,1630.0,2590.0,1280.0,1520.0,6.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless,5.0,400.0,17.0,17.0
Petrol,Hatchback,33407.0,Manual,1.0,Hyundai,Hyundai Grand i10,2017.0,5605.0,1.2 Kappa Sportz Option,518000.0,chennai,2018.0,Comprehensive,5.0,TN09,1197.0,Manual,18.9,1197.0,81.86,113.75,Silver,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3765.0,1660.0,1520.0,2425.0,1160.0,1520.0,5.0,FWD,Power,Disc,Drum,165.0,12.9,Tubeless,5.0,256.0,16.0,16.0
Petrol,Hatchback,14811.0,Manual,1.0,Datsun,Datsun RediGO,2021.0,7843.0,A,397000.0,chennai,2022.0,Comprehensive,5.0,TN14,799.0,Manual,20.71,799.0,53.64,72.0,Blue,0.8L Petrol Engine,3.0,4.0,DOHC,MPFi,No,No,3435.0,1574.0,1546.0,2348.0,710.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,tubeless tyre,5.0,222.0,16.0,16.0
Petrol,Hatchback,4939.0,Automatic,1.0,Tata,Tata Tiago NRG,2022.0,8537.0,XZA AMT BSVI,732000.0,chennai,2022.0,Zero Dep,5.0,TN14,1199.0,Automatic,20.09,1199.0,84.48,113.0,Red,Revotron 1.2 l,3.0,4.0,Default,Default,Default,Default,3802.0,1677.0,1537.0,2400.0,1015.0,1520.0,5.0,FWD,Electric,Disc,Drum,170.0,13.2,"Tubeless, Radial",5.0,242.0,16.0,16.0
Petrol,Hatchback,14483.0,Automatic,1.0,Maruti,Maruti Wagon R,2022.0,8845.0,VXI AT BSVI,625000.0,chennai,2022.0,Third Party,5.0,TN05,998.0,Automatic,25.19,998.0,65.71,89.0,Grey,K10C,3.0,4.0,Default,Default,Default,Default,3655.0,1620.0,1675.0,2435.0,24403.0,1340.0,5.0,AWD,Power,Disc,Drum,170.0,13.2,"Tubeless, Radial",5.0,341.0,16.0,16.0
Diesel,SUV,19000.0,Manual,1.0,Hyundai,Hyundai Creta,2022.0,7695.0,E Diesel BSVI,1275000.0,chennai,2022.0,Comprehensive,5.0,TN13,1493.0,Manual,19.26341090909091,1493.0,113.98,250.0,Black,1.5 L U2 CRDi Diesel,4.0,4.0,DOHC,CRDi,Yes,Default,4300.0,1790.0,1635.0,2610.0,1430.0,1520.0,6.0,AWD,Power,Disc,Disc,170.0,13.2,"Tubeless, Radial",5.0,350.0,16.0,16.0
Petrol,SUV,20000.0,Manual,1.0,Hyundai,Hyundai Venue,2022.0,9157.0,SX Opt Turbo iMT BSVI,1085000.0,chennai,2022.0,Third Party insurance,5.0,TN07,998.0,Manual,19.26341090909091,998.0,118.41,172.0,Others,1.0 Kappa Turbo GDi,3.0,4.0,Default,Default,Yes,Default,3995.0,1770.0,1617.0,2500.0,1175.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,"Tubeless, Radial",5.0,350.0,16.0,16.0
Petrol,Hatchback,24077.0,Manual,1.0,Datsun,Datsun RediGO,2021.0,7843.0,A,400000.0,chennai,2021.0,Comprehensive,5.0,TN12,799.0,Manual,20.71,799.0,53.64,72.0,Red,0.8L Petrol Engine,3.0,4.0,DOHC,MPFi,No,No,3435.0,1574.0,1546.0,2348.0,710.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,tubeless tyre,5.0,222.0,16.0,16.0
Diesel,Sedan,81985.0,Manual,1.0,Maruti,Maruti Swift Dzire,2012.0,4227.0,VDi,484999.0,chennai,2012.0,Comprehensive,5.0,TN04,1248.0,Manual,19.3,1248.0,73.9,190.0,Black,In-Line Engine,4.0,4.0,DOHC,CRDI,Yes,No,4160.0,1690.0,1530.0,2390.0,1105.0,1520.0,5.0,2 WD,Power,Ventilated Disc,Drum,170.0,13.2,"Tubeless,Radial",4.0,464.0,14.0,14.0
Petrol,MUV,30000.0,Automatic,2.0,Maruti,Maruti Ertiga,2020.0,7046.0,VXI AT,985000.0,chennai,2020.0,Third Party insurance,7.0,TN07,1462.0,Automatic,17.99,1462.0,103.26,138.0,Others,K15 Smart Hybrid,4.0,4.0,DOHC,MPFI,No,No,4395.0,1735.0,1690.0,2740.0,13442.0,1740.0,4.0,FWD,Power,Ventilated Disc,Drum,170.0,13.2,"Tubeless,Radial",5.0,209.0,16.0,16.0
Petrol,Hatchback,94348.0,Manual,2.0,Hyundai,Hyundai i20,2016.0,1481.0,Sportz 1.2,505000.0,chennai,2016.0,Comprehensive,5.0,TN04,1197.0,Manual,18.6,1197.0,81.83,114.7,Red,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3985.0,1734.0,1505.0,2570.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless,5.0,295.0,16.0,16.0
Diesel,SUV,32000.0,Manual,1.0,Hyundai,Hyundai Venue,2022.0,9164.0,SX Opt Diesel BSVI,1290000.0,chennai,2022.0,Comprehensive,5.0,TN07,1493.0,Manual,19.26341090909091,1493.0,113.45,250.0,White,1.5 U2 CRDi,4.0,4.0,Default,Default,Yes,Default,3995.0,1770.0,1617.0,2500.0,1288.0,1520.0,6.0,FWD,Power,Disc,Drum,170.0,13.2,"Tubeless, Radial",5.0,350.0,16.0,16.0
Petrol,Hatchback,51744.0,Manual,1.0,Hyundai,Hyundai i20,2019.0,6812.0,Asta Option BSIV,708000.0,chennai,2019.0,Third Party insurance,5.0,TN05,1197.0,Manual,18.6,1197.0,81.86,117.0,Red,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3985.0,1734.0,1505.0,2570.0,1140.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,Tubeless,5.0,285.0,16.0,16.0
Petrol,Hatchback,29093.0,Manual,1.0,Maruti,Maruti Swift,2021.0,4202.0,VXI,760000.0,chennai,2021.0,Comprehensive,5.0,TN10,1197.0,Manual,18.6,1197.0,85.8,114.0,White,K Series Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3850.0,1695.0,1530.0,2430.0,970.0,1415.0,5.0,FWD,Power,Ventilated Disc,Drum,160.0,12.29,"Tubeless,Radial",5.0,232.0,14.0,14.0
Petrol,Hatchback,16000.0,Manual,1.0,Maruti,Maruti Baleno,2019.0,6779.0,Zeta,745000.0,chennai,2019.0,Comprehensive,5.0,TN02,1197.0,Manual,21.01,1197.0,81.8,113.0,Blue,1.2L VVT Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,13922.0,1340.0,5.0,FWD,Electric,Disc,Drum,170.0,12.36,"Tubeless,Radial",5.0,339.0,16.0,16.0
Petrol,Hatchback,56876.0,Manual,1.0,Datsun,Datsun RediGO,2016.0,5236.0,T Option,270000.0,chennai,2016.0,Comprehensive,5.0,TN02,799.0,Manual,22.7,799.0,53.64,72.0,Grey,0.8L Petrol Engine,3.0,4.0,DOHC,MPFi,No,No,3429.0,1560.0,1541.0,2348.0,770.0,1520.0,5.0,2WD,Power,Disc,Drum,170.0,13.2,"Tubeless,Radial",5.0,222.0,16.0,16.0
Diesel,Hatchback,50000.0,Manual,1.0,Volkswagen,Volkswagen Polo,2014.0,1953.0,Diesel Comfortline 1.2L,450000.0,chennai,2014.0,Third Party insurance,5.0,TN09,1199.0,Manual,22.07,1199.0,73.9,180.0,Blue,In-Line Diesel Engine,3.0,4.0,Default,CRDI,No,No,3970.0,1682.0,1453.0,2456.0,1125.0,1520.0,5.0,FWD,Power,Disc,Drum,164.1,14.4,"Tubeless,Radial",5.0,350.0,15.0,15.0
Petrol,Hatchback,33573.0,Manual,1.0,Renault,Renault KWID,2019.0,5375.0,1.0 RXT Optional,421000.0,chennai,2019.0,Comprehensive,5.0,TN13,999.0,Manual,23.01,999.0,67.0,91.0,Silver,Petrol Engine,3.0,4.0,DOHC,MPFi,No,No,3679.0,1579.0,1478.0,2422.0,730.0,1520.0,5.0,FWD,Power,Disc,Drum,155.8,13.9,"Tubeless,Radial",5.0,300.0,16.0,16.0
Petrol,Hatchback,33615.0,Manual,1.0,Datsun,Datsun RediGO,2019.0,5236.0,T Option,303000.0,chennai,2019.0,Third Party,5.0,TN65,799.0,Manual,22.7,799.0,53.64,72.0,Silver,0.8L Petrol Engine,3.0,4.0,DOHC,MPFi,No,No,3429.0,1560.0,1541.0,2348.0,770.0,1520.0,5.0,2WD,Power,Disc,Drum,170.0,13.2,"Tubeless,Radial",5.0,222.0,16.0,16.0
Petrol,Hatchback,30000.0,Automatic,2.0,Honda,Honda Jazz,2018.0,6506.0,VX CVT,780000.0,chennai,2018.0,Third Party insurance,5.0,TN03,1199.0,Automatic,18.2,1199.0,88.7,110.0,Others,i-VTEC Petrol Engine,4.0,4.0,SOHC,PGM - Fi,No,No,3955.0,1694.0,1544.0,2530.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,172.0,13.7,"Tubeless,Radial",5.0,354.0,15.0,15.0
Petrol,Sedan,34935.0,Manual,1.0,Tata,Tata Tigor,2020.0,6640.0,XZ Plus,643000.0,chennai,2021.0,Comprehensive,5.0,TN73,1199.0,Manual,20.3,1199.0,83.81,114.0,White,Revotron Engine,3.0,4.0,DOHC,MPFi,No,No,3992.0,1677.0,1537.0,2450.0,-3626.0,1520.0,5.0,FWD,Power,Disc,Drum,170.0,13.2,"Tubeless,Radial",4.0,419.0,15.0,15.0
Petrol,Sedan,68979.0,Manual,1.0,Maruti,Maruti Swift Dzire,2017.0,7077.0,VXI 1.2,644000.0,chennai,2017.0,Comprehensive,5.0,TN06,1197.0,Manual,21.21,1197.0,81.8,113.0,Blue,K Series VVT Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1735.0,1515.0,2450.0,8927.0,1315.0,5.0,FWD,Power,Disc,Drum,170.0,12.6,"Tubeless,Radial",4.0,378.0,16.0,16.0
Petrol,MUV,50000.0,Manual,1.0,Maruti,Maruti Ertiga,2021.0,7048.0,ZXI Plus,1200000.0,chennai,2021.0,Third Party insurance,7.0,TN22,1462.0,Manual,19.01,1462.0,103.26,138.0,Gray,K15 Smart Hybrid,4.0,4.0,DOHC,MPFI,No,No,4395.0,1735.0,1690.0,2740.0,13442.0,1730.0,5.0,FWD,Power,Ventilated Disc,Drum,170.0,13.2,"Tubeless, Radial",5.0,209.0,15.0,15.0
Diesel,SUV,42917.0,Manual,1.0,Ford,Ford Ecosport,2018.0,6093.0,1.5 Diesel Titanium BSIV,811000.0,chennai,2018.0,Comprehensive,5.0,TN04,1498.0,Manual,23.0,1498.0,98.96,205.0,Blue,TDCi Diesel Engine,4.0,4.0,SOHC,Direct Injection,Yes,No,3998.0,1765.0,1647.0,2519.0,1300.0,1690.0,5.0,FWD,Power,Ventilated Disc,Drum,170.0,13.2,"Tubeless,Radial",4.0,352.0,16.0,16.0
Petrol,Hatchback,20000.0,Manual,1.0,Maruti,Maruti Baleno,2019.0,6779.0,Zeta,725000.0,chennai,2019.0,Third Party insurance,5.0,TN07,1197.0,Manual,21.01,1197.0,81.8,113.0,Others,1.2L VVT Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,13922.0,1340.0,5.0,FWD,Electric,Disc,Drum,170.0,12.36,"Tubeless,Radial",5.0,339.0,16.0,16.0
Petrol,Hatchback,32000.0,Automatic,1.0,Maruti,Maruti Baleno,2018.0,6780.0,Alpha CVT,725000.0,chennai,2018.0,Comprehensive,5.0,TN09,1197.0,Automatic,19.56,1197.0,81.8,113.0,Grey,1.2L VVT Engine,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,-6569.0,1360.0,5.0,FWD,Electric,Disc,Drum,170.0,12.36,"Tubeless,Radial",5.0,339.0,16.0,16.0
Diesel,Hatchback,40000.0,Manual,1.0,Hyundai,Hyundai i20,2019.0,6816.0,Sportz Plus Diesel,750000.0,chennai,2019.0,Third Party insurance,5.0,TN22,1396.0,Manual,22.54,1396.0,88.76,224.0,Others,U2 CRDI Diesel Engine,4.0,4.0,DOHC,CRDI,Yes,No,3985.0,1734.0,1505.0,2570.0,1180.0,1520.0,6.0,FWD,Power,Disc,Drum,180.0,13.57,Tubeless,5.0,285.0,15.0,15.0
Petrol,Hatchback,61455.0,Manual,1.0,Hyundai,Hyundai Grand i10,2015.0,5607.0,1.2 Kappa Asta,500000.0,chennai,2016.0,Third Party insurance,5.0,TN07,1197.0,Manual,18.9,1197.0,81.86,113.75,Silver,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3765.0,1660.0,1520.0,2425.0,1060.0,1520.0,5.0,FWD,Power,Disc,Drum,165.0,12.9,Tubeless,5.0,256.0,14.0,14.0
